NO,개설부서,교과목-분반,교과목명,이수구분,세부분류,교과연구,담당교수,"과정
구분",강/실/학,시간표,강의실,"수강
정원","강의
계획서","설명
영상",강의언어
1,AI융합 부전공,AI2002-01,디지털 유니버스 콜로퀴움,필수,,교과,황치옥[60934],학사,1/0/1,목 16:00~17:00,,50,view,,English/Korean
2,AI융합 부전공,AI3050-01,프로그래밍 언어 및 컴파일러,선택,,교과,소순범[64560],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",전기전자컴퓨터공학부B(B201),29,view,,English
3,AI융합 부전공,AI3301-01,(MOOC 지정) 인공지능 로봇의 윤리,선택,,교과,김건우[61974],학사,3/0/3,"월 09:00~10:30
수 09:00~10:30",,20,view,,Korean
4,AI융합 부전공,AI4001-01,AI 핵심기술 기반 실무 프로젝트 2,필수,,교과,공득조[62553],학사,1/4/3,금 13:00~18:00,금호정보통신연구동(금호관)(201),20,view,,Korean
5,AI융합 부전공,AI4003-01,인공지능 경험 랩,선택,,교과,김의환[64023],학사,1/4/3,"월 16:00~18:30
수 16:00~18:30",,0,view,,English
6,AI융합 부전공,AI4021-01,기계학습 및 딥러닝,필수,,교과,김선동[64338],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,80,view,,English
7,AI융합 부전공,AI4450-01,지능형 모터 융합 프로젝트,선택,,교과,허필원[63766],학사,2/2/3,금 13:00~17:00,기계공학부(228),0,view,,English
8,생명과학부,BS2103-01,생화학·분자생물학 실험,필수,,교과,"김영준[60665]
김준영[61444]
진석원[61956]",학사,1/4/3,화 13:00~18:00,,12,view,,English/Korean
9,생명과학부,BS2103-02,생화학·분자생물학 실험,필수,,교과,"김영준[60665]
김준영[61444]
진석원[61956]",학사,1/4/3,금 13:00~18:00,,10,view,,English/Korean
10,생명과학부,BS2104-01,생화학 I,필수,,교과,"박철승[01096]
엄수현[01123]
이선재[63721]",학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",생명과학부(BT포함)(121),0,view,,English
11,생명과학부,BS2201-01,생명과학의 정량적 이해,선택,,교과,엄수현[01123],학사,2/0/2,목 14:00~16:00,생명과학부(BT포함)(326),0,view,,English
12,생명과학부,BS2202-01,유전학,선택,,교과,진석원[61956],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",생명과학부(BT포함)(223),0,view,,English
13,생명과학부,BS2204-01,기초 해부조직학,선택,,교과,남정석[62330],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",실험동물자원센터(111),0,view,,English/Korean
14,생명과학부,BS2205-01,생명정보학 개론,선택,,교과,이선재[63721],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",생명과학부(BT포함)(223),0,view,,English/Korean
15,생명과학부,BS3101-01,생화학 II,필수,,교과,허윤현[63163],학사,3/0/3,"월 16:00~17:30
수 16:00~17:30",,30,view,,English
16,생명과학부,BS3201-01,미생물학,선택,,교과,박대호[30565],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",생명과학부(BT포함)(428),0,view,,English
17,생명과학부,BS3205-01,환경생태학,선택,,교과,김은석[61667],학사,3/0/3,"화 13:00~14:30
목 13:00~14:30",삼성환경연구동(211),0,view,,English
18,생명과학부,BS3208-01,면역학,선택,,교과,최진욱[64206],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",생명과학부(BT포함)(428),0,view,,English
19,생명과학부,BS4217-01,생리학 Ⅱ,선택,,교과,박우진[01100],학사,3/0/3,"화 10:30~12:00
목 10:30~12:00",생명과학부(BT포함)(326),0,view,,English
20,생명과학부,BS9102-01,학사논문연구 I,연구,,논문연구,,학사,0/0/3,,,0,view,,
21,생명과학부,BS9103-01,학사논문연구 II,연구,,논문연구,,학사,0/0/3,,,0,view,,
22,화학과,CH2104-01,물리화학 B,필수,,교과,방윤수[61199],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,0,view,,English
23,화학과,CH2105-01,화학합성실험,필수,,교과,"서준혁[62856]
정원진[61972]
함혜진[62758]",학사,1/4/3,"월 19:00~20:00
화 13:00~17:00",,20,view,,English
24,화학과,CH2201-01,유기화학 II,선택,,교과,안진희[62296],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
25,화학과,CH2401-01,화학전공연구 I,선택,,교과,"김민곤[61317]
김정욱[62297]
김현우[64144]
박정은[64143]
박진주[60957]
방윤수[61199]
서준혁[62856]
서지원[60955]
안진희[62296]
이강택[61665]
이호재[61770]
임현섭[63380]
정원진[61972]
한민수[62071]",학사,0/3/1,일 09:00~12:00,,0,view,,English/Korean
26,화학과,CH3205-01,물리유기화학,선택,,교과,한민수[62071],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
27,화학과,CH3401-01,화학전공연구 Ⅱ,선택,,교과,"김민곤[61317]
김정욱[62297]
김현우[64144]
박정은[64143]
박진주[60957]
방윤수[61199]
서준혁[62856]
서지원[60955]
안진희[62296]
이강택[61665]
이호재[61770]
임현섭[63380]
정원진[61972]
한민수[62071]",학사,0/3/1,일 13:00~16:00,,0,view,,English/Korean
28,화학과,CH3402-01,화학전공연구 III,선택,,교과,"김민곤[61317]
김정욱[62297]
김현우[64144]
박정은[64143]
박진주[60957]
방윤수[61199]
서준혁[62856]
서지원[60955]
안진희[62296]
이강택[61665]
이호재[61770]
임현섭[63380]
정원진[61972]
한민수[62071]",학사,0/3/1,일 09:00~12:00,,0,view,,English/Korean
29,화학과,CH4205-01,생유기화학과 바이오의약품,선택,,교과,서지원[60955],학사,3/0/3,"화 09:00~10:30
목 09:00~10:30",,0,view,,English
30,화학과,CH4208-01,무기화학 II,선택,,교과,서준혁[62856],학사,3/0/3,"월 13:00~14:30
수 13:00~14:30",,0,view,,English/Korean
31,화학과,CH4213-01,기기분석,선택,,교과,임현섭[63380],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
32,화학과,CH4219-01,생화학 II,선택,,교과,김정욱[62297],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,0,view,,English
33,화학과,CH4220-01,물리화학의 응용,선택,,교과,이강택[61665],학사,3/0/3,"월 14:30~16:00
수 14:30~16:00",,0,view,,English
34,화학과,CH4221-01,계산화학,선택,,교과,최준호[62923],학사,3/0/3,"월 10:30~12:00
수 10:30~12:00",,0,view,,English
35,화학과,CH4222-01,에너지 변환과 저장,선택,,교과,김상륜[64069],학사,3/0/3,화 09:00~12:00,신재생에너지연구동(309),20,view,,English
